Time,P,S,Q,Temperature
01/01/2019 00:00,1714.28,1731.6,244.2722402,25.7
01/01/2019 01:00,1654.94,1671.66,235.8166627,26.6
01/01/2019 02:00,1557.78,1573.52,221.972312,26.3
01/01/2019 03:00,1628.57,1645.02,232.586282,27.4
01/01/2019 04:00,1624.17,1640.58,231.4322891,24.2
01/01/2019 05:00,1656.24,1672.97,236.14609,25.4
01/01/2019 06:00,1676.33,1710.54,340.3931621,25.6
01/01/2019 07:00,1600.53,1633.19,325.7065,25.6
01/01/2019 08:00,1574.54,1606.67,319.7232931,27.5
01/01/2019 09:00,1002.54,1625.04,323.378877,27.6
01/01/2019 10:00,1728.31,1763.58,350.9479889,26.9
01/01/2019 11:00,1604.86,1637.61,325.8802754,24.9
01/01/2019 12:00,1588.19,1620.6,322.4953281,26.2
01/01/2019 13:00,1635.18,1668.55,332.372576,26.8
01/01/2019 14:00,1635.18,1668.55,332.372576,26.7
01/01/2019 15:00,1675.93,1692.86,238.8072907,27.4
01/01/2019 16:00,1603.01,1619.2,228.416269,28.4
01/01/2019 17:00,1616.08,1632.4,230.2783581,27
01/01/2019 18:00,1635.68,1652.2,233.714919,27.9
01/01/2019 19:00,1613.9,1630.2,229.9680099,26.2
01/01/2019 20:00,1646.57,1663.2,234.6232328,25.9
01/01/2019 21:00,1646.57,1663.2,234.6232328,26
01/01/2019 22:00,1642.21,1658.8,234.25364,25.6
01/01/2019 23:00,1631.32,1647.8,232.4507955,25.8
02/01/2019 00:00,1644.39,1661,234.3128846,26.8
02/01/2019 01:00,1637.86,1654.4,233.38184,27.6
02/01/2019 02:00,1642.21,1658.8,234.25364,26.1
02/01/2019 03:00,1618.25,1634.6,230.5887063,26.6
02/01/2019 04:00,1672.7,1689.6,238.3474111,25.8
02/01/2019 05:00,1613.9,1630.2,229.9680099,25.8
02/01/2019 06:00,1611.72,1628,229.6576617,26.8
02/01/2019 07:00,1714.09,1731.4,244.2440268,25.7
02/01/2019 08:00,1745.32,1762.95,248.694702,26.6
02/01/2019 09:00,1677.06,1694,238.9681075,26.3
02/01/2019 10:00,1710.63,1727.91,243.7517017,27.4
02/01/2019 11:00,1697.62,1714.77,241.8980766,24.2
02/01/2019 12:00,1652.09,1668.78,235.4103887,25.4
02/01/2019 13:00,1749.66,1767.33,249.312577,25.6
02/01/2019 14:00,1639.08,1655.64,233.5567636,25.6
02/01/2019 15:00,1732.31,1749.81,246.8410768,27.5
02/01/2019 16:00,1682.45,1699.44,239.7355139,27.6
02/01/2019 17:00,1654.26,1670.97,235.7193262,26.9
02/01/2019 18:00,1636.92,1653.45,233.2478261,24.9
02/01/2019 19:00,1662.93,1679.73,236.9550763,26.2
02/01/2019 20:00,1671.61,1688.49,238.1908263,26.8
02/01/2019 21:00,1717.93,1735.28,244.7913681,26.7
02/01/2019 22:00,1719.3,1736.67,244.9874517,27.4
02/01/2019 23:00,1697.62,1714.77,241.8980766,28.4
03/01/2019 00:00,1726.96,1762.2,350.6733723,27
03/01/2019 01:00,1714.81,1749.81,348.2077935,27.9
03/01/2019 02:00,1600.01,1692.87,336.8768765,26.2
03/01/2019 03:00,1646.14,1679.73,334.2620495,25.9
03/01/2019 04:00,1751.3,1787.04,355.6164699,26
03/01/2019 05:00,1691.21,1725.72,343.413944,25.6
03/01/2019 06:00,1729.84,1765.14,351.2584249,25.8
03/01/2019 07:00,1646.14,1679.73,334.2620495,26.8
03/01/2019 08:00,1714.81,1749.81,348.2077935,27.6
03/01/2019 09:00,1699.79,1734.48,345.157162,26.1
03/01/2019 10:00,1699.79,1734.48,345.157162,26.6
03/01/2019 11:00,1680.47,1714.77,341.2349215,25.8
03/01/2019 12:00,1693.35,1727.91,343.8497485,25.8
03/01/2019 13:00,1772.76,1808.94,300.9745149,26.8
03/01/2019 14:00,1787.78,1824.27,363.251464,25.7
03/01/2019 15:00,1692.46,1727,343.6686608,26.6
03/01/2019 16:00,1767.92,1804,358.9914673,26.3
03/01/2019 17:00,1651.5,1685.2,335.3505658,27.4
03/01/2019 18:00,1649.34,1683,334.9127713,24.2
03/01/2019 19:00,1651.5,1685.2,335.3505658,25.4
