Time,P,S,Q,Temperature
1/1/19 0:00,1714.28,1731,244.28,25.7
1/1/19 1:00,1654.94,1671.66,235.81,26.6
1/1/19 2:00,1557.78,1573.52,221.97,26.3
1/1/19 3:00,1628.57,1645,232.31,27.4
1/1/19 4:00,1624.17,1640.58,231.43,24.2
1/1/19 5:00,1656.24,1672.97,244.33,25.4
1/1/19 6:00,1676.33,1710.54,236.14,25.6
1/1/19 7:00,1600.53,1633.19,340.39,25.6
1/1/19 8:00,1574.54,1606.67,325.70,27.5
1/1/19 9:00,1592.54,1625.04,319.72,27.6
1/1/19 10:00,1728.31,1763.58,245.91,26.9
1/1/19 11:00,1604.86,1637.61,227.8,24.9
1/1/19 12:00,1588.19,1620.6,234.79,26.2
1/1/19 13:00,1635.18,1668.55,237.88,26.8
1/1/19 14:00,1635.18,1668.55,238.81,26.7
1/1/19 15:00,1675.93,1692.86,243.31,27.4
1/1/19 16:00,1603.01,1619.2,326.59,28.4
1/1/19 17:00,1616.08,1632.4,332.92,27
1/1/19 18:00,1635.68,1652.2,334.91,27.9
1/1/19 19:00,1613.9,1630.2,335.12,26.2
1/1/19 20:00,1646.57,1663.2,330.1,25.9
1/1/19 21:00,1646.57,1663.2,329.84,26
1/1/19 22:00,1642.21,1658.8,335.35,25.6
1/1/19 23:00,1631.32,1647.8,330.28,25.8
2/1/19 0:00,1644.39,1661,341.27,26.8
2/1/19 1:00,1637.86,1654.4,333.54,27.6
2/1/19 2:00,1642.21,1658.8,234.22,26.1
2/1/19 3:00,1618.25,1634.6,230.9,26.6
2/1/19 4:00,1672.7,1689.6,237.11,25.8
2/1/19 5:00,1613.9,1630.2,234.62,25.8
2/1/19 6:00,1611.72,1628,234.29,26.8
2/1/19 7:00,1714.09,1731.4,230.9,25.7
2/1/19 8:00,1745.32,1762.95,231.64,26.6
2/1/19 9:00,1677.06,1694,237.25,26.3
2/1/19 10:00,1710.63,1727.91,240.37,27.4
2/1/19 11:00,1697.62,1714.77,236.31,24.2
2/1/19 12:00,1652.09,1668.78,234.44,25.4
2/1/19 13:00,1749.66,1767.33,232.88,25.6
2/1/19 14:00,1639.08,1655.64,236.12,25.6
2/1/19 15:00,1732.31,1749.81,237.73,27.5
2/1/19 16:00,1682.45,1699.44,234.31,27.6
2/1/19 17:00,1654.26,1670.97,235.86,26.9
2/1/19 18:00,1636.92,1653.45,241.45,24.9
2/1/19 19:00,1662.93,1679.73,240.83,26.2
2/1/19 20:00,1671.61,1688.49,241.76,26.8
2/1/19 21:00,1717.93,1735.28,239.9,26.7
2/1/19 22:00,1719.3,1736.67,234.12,27.4
2/1/19 23:00,1697.62,1714.77,235.86,28.4
3/1/19 0:00,1726.96,1762.2,240.21,27
3/1/19 1:00,1714.81,1749.81,239.9,27.9
3/1/19 2:00,1659.01,1692.87,249.21,26.2
3/1/19 3:00,1646.14,1679.73,238.66,25.9
3/1/19 4:00,1751.3,1787.04,246.53,26
3/1/19 5:00,1691.21,1725.72,242.69,25.6
3/1/19 6:00,1729.84,1765.14,238.19,25.8
3/1/19 7:00,1646.14,1679.73,239.43,26.8
3/1/19 8:00,1714.81,1749.81,242.52,27.6
3/1/19 9:00,1699.79,1734.48,340.6,26.1
3/1/19 10:00,1699.79,1734.48,350.24,26.6
3/1/19 11:00,1680.47,1714.77,345.23,25.8
3/1/19 12:00,1693.35,1727.91,342.79,25.8
3/1/19 13:00,1772.76,1808.94,342.15,26.8
3/1/19 14:00,1787.78,1824.27,343.23,25.7
3/1/19 15:00,1692.46,1727,335.12,26.6
3/1/19 16:00,1767.92,1804,348.48,26.3
3/1/19 17:00,1651.5,1685.2,354.18,27.4
3/1/19 18:00,1649.34,1683,343.23,24.2
3/1/19 19:00,1651.5,1685.2,339.29,25.4
3/1/19 20:00,1716.18,1751.2,341.23,25.6
3/1/19 21:00,1655.81,1689.6,334.47,25.6
3/1/19 22:00,1716.18,1751.2,342.54,27.5
3/1/19 23:00,1654.35,1688.11,335.79,27.6
4/1/19 0:00,1645.61,1679.19,348.92,26.9
4/1/19 1:00,1674.94,1709.12,364.25,24.9
