Time,P,S,Q,Temperature
1/1/19 0:00,1714.28,1731.6,2.442.722.402,25.7
1/1/19 1:00,1654.94,1671.66,2.358.166.627,26.6
1/1/19 2:00,1557.78,1573.52,221.972.312,26.3
1/1/19 3:00,1628.57,1645.02,232.586.282,27.4
1/1/19 4:00,1624.17,1640.58,2.314.322.891,24.2
1/1/19 5:00,1656.24,1672.97,23.614.609,25.4
1/1/19 6:00,1676.33,1710.54,3.403.931.621,25.6
1/1/19 7:00,1600.53,1633.19,3.257.065,25.6
1/1/19 8:00,1574.54,1606.67,3.197.232.931,27.5
1/1/19 9:00,1592.54,1625.04,323.378.877,27.6
1/1/19 10:00,1728.31,1763.58,3.509.479.889,26.9
1/1/19 11:00,1604.86,1637.61,3.258.802.754,24.9
1/1/19 12:00,1588.19,1620.6,3.224.953.281,26.2
1/1/19 13:00,1635.18,1668.55,332.372.576,26.8
1/1/19 14:00,1635.18,1668.55,332.372.576,26.7
1/1/19 15:00,1675.93,1692.86,2.388.072.907,27.4
1/1/19 16:00,1603.01,1619.2,228.416.269,28.4
1/1/19 17:00,1616.08,1632.4,2.302.783.581,27
1/1/19 18:00,1635.68,1652.2,233.714.919,27.9
1/1/19 19:00,1613.9,1630.2,2.299.680.099,26.2
1/1/19 20:00,1646.57,1663.2,2.346.232.328,25.9
1/1/19 21:00,1646.57,1663.2,2.346.232.328,26
1/1/19 22:00,1642.21,1658.8,23.425.364,25.6
1/1/19 23:00,1631.32,1647.8,2.324.507.955,25.8
2/1/19 0:00,1644.39,1661,2.343.128.846,26.8
2/1/19 1:00,1637.86,1654.4,23.338.184,27.6
2/1/19 2:00,1642.21,1658.8,23.425.364,26.1
2/1/19 3:00,1618.25,1634.6,2.305.887.063,26.6
2/1/19 4:00,1672.7,1689.6,2.383.474.111,25.8
2/1/19 5:00,1613.9,1630.2,2.299.680.099,25.8
2/1/19 6:00,1611.72,1628,2.296.576.617,26.8
2/1/19 7:00,1714.09,1731.4,2.442.440.268,25.7
2/1/19 8:00,1745.32,1762.95,248.694.702,26.6
2/1/19 9:00,1677.06,1694,2.389.681.075,26.3
2/1/19 10:00,1710.63,1727.91,2.437.517.017,27.4
2/1/19 11:00,1697.62,1714.77,2.418.980.766,24.2
2/1/19 12:00,1652.09,1668.78,2.354.103.887,25.4
2/1/19 13:00,1749.66,1767.33,249.312.577,25.6
2/1/19 14:00,1639.08,1655.64,2.335.567.636,25.6
2/1/19 15:00,1732.31,1749.81,2.468.410.768,27.5
2/1/19 16:00,1682.45,1699.44,2.397.355.139,27.6
2/1/19 17:00,1654.26,1670.97,2.357.193.262,26.9
2/1/19 18:00,1636.92,1653.45,2.332.478.261,24.9
2/1/19 19:00,1662.93,1679.73,2.369.550.763,26.2
2/1/19 20:00,1671.61,1688.49,2.381.908.263,26.8
2/1/19 21:00,1717.93,1735.28,2.447.913.681,26.7
2/1/19 22:00,1719.3,1736.67,2.449.874.517,27.4
2/1/19 23:00,1697.62,1714.77,2.418.980.766,28.4
3/1/19 0:00,1726.96,1762.2,3.506.733.723,27
3/1/19 1:00,1714.81,1749.81,3.482.077.935,27.9
3/1/19 2:00,1659.01,1692.87,3.368.768.765,26.2
3/1/19 3:00,1646.14,1679.73,3.342.620.495,25.9
3/1/19 4:00,1751.3,1787.04,3.556.164.699,26
3/1/19 5:00,1691.21,1725.72,343.413.944,25.6
3/1/19 6:00,1729.84,1765.14,3.512.584.249,25.8
3/1/19 7:00,1646.14,1679.73,3.342.620.495,26.8
3/1/19 8:00,1714.81,1749.81,3.482.077.935,27.6
3/1/19 9:00,1699.79,1734.48,345.157.162,26.1
3/1/19 10:00,1699.79,1734.48,345.157.162,26.6
3/1/19 11:00,1680.47,1714.77,3.412.349.215,25.8
3/1/19 12:00,1693.35,1727.91,3.438.497.485,25.8
3/1/19 13:00,1772.76,1808.94,3.599.745.149,26.8
3/1/19 14:00,1787.78,1824.27,363.251.464,25.7
3/1/19 15:00,1692.46,1727,3.436.686.608,26.6
3/1/19 16:00,1767.92,1804,3.589.914.673,26.3
3/1/19 17:00,1651.5,1685.2,3.353.505.658,27.4
3/1/19 18:00,1649.34,1683,3.349.127.713,24.2
3/1/19 19:00,1651.5,1685.2,3.353.505.658,25.4
3/1/19 20:00,1716.18,1751.2,3.484.844,25.6
3/1/19 21:00,1655.81,1689.6,3.362.261.547,25.6
3/1/19 22:00,1716.18,1751.2,3.484.844,27.5
3/1/19 23:00,1654.35,1688.11,3.359.296.485,27.6
4/1/19 0:00,1645.61,1679.19,3.341.545.909,26.9
4/1/19 1:00,1674.94,1709.12,3.401.105.857,24.9
4/1/19 2:00,1670.55,1704.64,339.219.077,26.2
4/1/19 3:00,1647.79,1681.42,3.345.983.553,26.8
4/1/19 4:00,1652.99,1686.72,335.653.042,26.7
4/1/19 5:00,1642.01,1675.52,3.334.242.701,27.4
4/1/19 6:00,1696.89,1731.52,3.445.681.294,28.4
4/1/19 7:00,1624.45,1657.6,3.298.582.351,27
4/1/19 8:00,1696.89,1731.52,3.445.681.294,27.9
4/1/19 9:00,1683.72,1718.08,3.418.936.032,26.2
4/1/19 10:00,1678.39,1712.64,3.408.110.569,25.9
4/1/19 11:00,1639.05,1672.5,3.328.232.977,26
4/1/19 12:00,1695.87,1730.48,344.361.172,25.6
4/1/19 13:00,1742.66,1778.22,3.538.613.121,25.8
4/1/19 14:00,1668.69,1702.74,3.388.409.817,26.8
4/1/19 15:00,1640.4,1673.88,333.979.142,27.6
4/1/19 16:00,1691.5,1726.02,3.434.736.432,26.1
4/1/19 17:00,1733.02,1768.39,3.519.051.668,26.6
4/1/19 18:00,1739.58,1775.08,35.323.646,25.8
4/1/19 19:00,1747.01,1782.66,3.547.448.609,25.8
4/1/19 20:00,1671.83,1705.95,3.394.797.637,26.8
4/1/19 21:00,1675.21,1709.4,340.166.305,25.7
4/1/19 22:00,1677.39,1711.62,3.406.080.794,26.6
4/1/19 23:00,1727.43,1762.68,3.507.688.911,26.3
5/1/19 0:00,1701.32,1736.04,3.454.675.981,27.4
5/1/19 1:00,1705.67,1740.48,3.463.511.469,24.2
5/1/19 2:00,1696.97,1731.6,3.445.840.492,25.4
5/1/19 3:00,1668.69,1702.74,3.388.409.817,25.6
5/1/19 4:00,1723.08,1758.24,3.498.853.423,25.6
5/1/19 5:00,1782.45,1818.83,3.619.426,27.5
5/1/19 6:00,1695.82,1730.43,3.443.512.222,27.6
5/1/19 7:00,1784.62,1821.04,3.623.823.845,26.9
5/1/19 8:00,1746.36,1782,3.546.135.226,24.9
5/1/19 9:00,1723.98,1759.16,3.506.842,26.2
5/1/19 10:00,1781.6,1799.6,2.538.648.207,26.8
5/1/19 11:00,1755.47,1773.2,2.501.406.424,26.7
5/1/19 12:00,1709.73,1727,2.436.233.304,27.4
5/1/19 13:00,1755.47,1773.2,2.501.406.424,28.4
5/1/19 14:00,1740.22,1757.8,2.479.682.051,27
5/1/19 15:00,1782.18,1800.18,2.539.466.398,27.9
5/1/19 16:00,1792.49,1810.6,2.554.165.616,26.2
5/1/19 17:00,1709.73,1727,2.436.233.304,25.9
5/1/19 18:00,1794.67,1812.8,2.557.269.098,26
5/1/19 19:00,1803.86,1822.08,257.360.149,25.6
5/1/19 20:00,1701.02,1718.2,2.423.819.376,25.8
5/1/19 21:00,1759.82,1777.6,2.507.613.388,26.8
