date,load,temperature
01/01/2019 1:00:00,1714.28,25.7
01/01/2019 2:00:00,1654.94,26.6
01/01/2019 3:00:00,1557.78,26.3
01/01/2019 4:00:00,1628.57,27.4
01/01/2019 5:00:00,1624.17,24.2
01/01/2019 6:00:00,1656.24,25.4
01/01/2019 7:00:00,1676.33,25.6
01/01/2019 8:00:00,1600.53,25.6
01/01/2019 9:00:00,1574.54,27.5
01/01/2019 10:00:00,1592.54,27.6
01/01/2019 11:00:00,1728.31,26.9
01/01/2019 12:00:00,1604.86,24.9
01/01/2019 13:00:00,1588.19,26.2
01/01/2019 14:00:00,1635.18,26.8
01/01/2019 15:00:00,1635.18,26.7
01/01/2019 16:00:00,1675.93,27.4
01/01/2019 17:00:00,1603.01,28.4
01/01/2019 18:00:00,1616.08,27
01/01/2019 19:00:00,1635.68,27.9
01/01/2019 20:00:00,1613.9,26.2
01/01/2019 21:00:00,1646.57,25.9
01/01/2019 22:00:00,1646.57,26
01/01/2019 23:00:00,1642.21,25.6
02/01/2019 0:00:00,1631.32,25.8
02/01/2019 1:00:00,1644.39,26.8
02/01/2019 2:00:00,1637.86,27.6
02/01/2019 3:00:00,1642.21,26.1
02/01/2019 4:00:00,1618.25,26.6
02/01/2019 5:00:00,1672.7,25.8
02/01/2019 6:00:00,1613.9,25.8
02/01/2019 7:00:00,1611.72,26.8
02/01/2019 8:00:00,1714.09,25.7
02/01/2019 9:00:00,1745.32,26.6
02/01/2019 10:00:00,1677.06,26.3
02/01/2019 11:00:00,1710.63,27.4
02/01/2019 12:00:00,1697.62,24.2
02/01/2019 13:00:00,1652.09,25.4
02/01/2019 14:00:00,1749.66,25.6
02/01/2019 15:00:00,1639.08,25.6
02/01/2019 16:00:00,1732.31,27.5
02/01/2019 17:00:00,1682.45,27.6
02/01/2019 18:00:00,1654.26,26.9
02/01/2019 19:00:00,1636.92,24.9
02/01/2019 20:00:00,1662.93,26.2
02/01/2019 21:00:00,1671.61,26.8
02/01/2019 22:00:00,1717.93,26.7
02/01/2019 23:00:00,1719.3,27.4
03/01/2019 0:00:00,1697.62,28.4
03/01/2019 1:00:00,1726.96,27
03/01/2019 2:00:00,1714.81,27.9
03/01/2019 3:00:00,1659.01,26.2
03/01/2019 4:00:00,1646.14,25.9
03/01/2019 5:00:00,1751.3,26
03/01/2019 6:00:00,1691.21,25.6
03/01/2019 7:00:00,1729.84,25.8
03/01/2019 8:00:00,1646.14,26.8
03/01/2019 9:00:00,1714.81,27.6
03/01/2019 10:00:00,1699.79,26.1
03/01/2019 11:00:00,1699.79,26.6
03/01/2019 12:00:00,1680.47,25.8
03/01/2019 13:00:00,1693.35,25.8
03/01/2019 14:00:00,1772.76,26.8
03/01/2019 15:00:00,1787.78,25.7
03/01/2019 16:00:00,1692.46,26.6
03/01/2019 17:00:00,1767.92,26.3
03/01/2019 18:00:00,1651.5,27.4
03/01/2019 19:00:00,1649.34,24.2
03/01/2019 20:00:00,1651.5,25.4
03/01/2019 21:00:00,1716.18,25.6
03/01/2019 22:00:00,1655.81,25.6
03/01/2019 23:00:00,1716.18,27.5
04/01/2019 0:00:00,1654.35,27.6
04/01/2019 1:00:00,1645.61,26.9
04/01/2019 2:00:00,1674.94,24.9
04/01/2019 3:00:00,1670.55,26.2
04/01/2019 4:00:00,1647.79,26.8
04/01/2019 5:00:00,1652.99,26.7
04/01/2019 6:00:00,1642.01,27.4
04/01/2019 7:00:00,1696.89,28.4
04/01/2019 8:00:00,1624.45,27
04/01/2019 9:00:00,1696.89,27.9
04/01/2019 10:00:00,1683.72,26.2
04/01/2019 11:00:00,1678.39,25.9
04/01/2019 12:00:00,1639.05,26
04/01/2019 13:00:00,1695.87,25.6
04/01/2019 14:00:00,1742.66,25.8
04/01/2019 15:00:00,1668.69,26.8
04/01/2019 16:00:00,1640.4,27.6
04/01/2019 17:00:00,1691.5,26.1
04/01/2019 18:00:00,1733.02,26.6
04/01/2019 19:00:00,1739.58,25.8
04/01/2019 20:00:00,1747.01,25.8
04/01/2019 21:00:00,1671.83,26.8
04/01/2019 22:00:00,1675.21,25.7
04/01/2019 23:00:00,1677.39,26.6
05/01/2019 0:00:00,1727.43,26.3
05/01/2019 1:00:00,1701.32,27.4
05/01/2019 2:00:00,1705.67,24.2
05/01/2019 3:00:00,1696.97,25.4
05/01/2019 4:00:00,1668.69,25.6
05/01/2019 5:00:00,1723.08,25.6
05/01/2019 6:00:00,1782.45,27.5
05/01/2019 7:00:00,1695.82,27.6
05/01/2019 8:00:00,1784.62,26.9
05/01/2019 9:00:00,1746.36,24.9
05/01/2019 10:00:00,1723.98,26.2
05/01/2019 11:00:00,1781.6,26.8
05/01/2019 12:00:00,1755.47,26.7
05/01/2019 13:00:00,1709.73,27.4
05/01/2019 14:00:00,1755.47,28.4
05/01/2019 15:00:00,1740.22,27
05/01/2019 16:00:00,1782.18,27.9
05/01/2019 17:00:00,1792.49,26.2
05/01/2019 18:00:00,1709.73,25.9
05/01/2019 19:00:00,1794.67,26
05/01/2019 20:00:00,1803.86,25.6
05/01/2019 21:00:00,1701.02,25.8
05/01/2019 22:00:00,1759.82,26.8
05/01/2019 23:00:00,1753.29,27.6
06/01/2019 0:00:00,1777.84,26.1
06/01/2019 1:00:00,1779.43,26.6
06/01/2019 2:00:00,1674.88,25.8
06/01/2019 3:00:00,1701.02,25.8
06/01/2019 4:00:00,1703.2,26.8
06/01/2019 5:00:00,1690.13,25.7
06/01/2019 6:00:00,1727.15,26.6
06/01/2019 7:00:00,1689.06,26.3
06/01/2019 8:00:00,1730.63,27.4
06/01/2019 9:00:00,1682.5,24.2
06/01/2019 10:00:00,1761.26,25.4
06/01/2019 11:00:00,1715.31,25.6
06/01/2019 12:00:00,1708.75,25.6
06/01/2019 13:00:00,1842.59,27.5
06/01/2019 14:00:00,1710.94,27.6
06/01/2019 15:00:00,1675.93,26.9
06/01/2019 16:00:00,1719.69,24.9
06/01/2019 17:00:00,1721.88,26.2
06/01/2019 18:00:00,1686.87,26.8
06/01/2019 19:00:00,1700,26.7
06/01/2019 20:00:00,1728.44,27.4
06/01/2019 21:00:00,1739.38,28.4
06/01/2019 22:00:00,1745.94,27
